# @source="réseau Sentinelles, INSERM, Sorbonne Université, http://www.sentiweb.fr", @meta={"period":[198444,202240],"geo":["PAY","1"],"geo_ref":"insee","indicator":"3","type":"all","conf_int":true,"compact":false}, @date=2022-10-15T12:27:34+02:00
week,indicator,inc,inc_low,inc_up,inc100,inc100_low,inc100_up,geo_insee,geo_name
201952,3,28135,23220,33050,43,36,50,FR,France
201951,3,29786,25042,34530,45,38,52,FR,France
201950,3,34223,29156,39290,52,44,60,FR,France
201949,3,25662,21414,29910,39,33,45,FR,France
201948,3,22367,18055,26679,34,27,41,FR,France
201947,3,18669,14759,22579,28,22,34,FR,France
201946,3,16030,12567,19493,24,19,29,FR,France
201945,3,10138,7160,13116,15,10,20,FR,France
201944,3,7822,5010,10634,12,8,16,FR,France
201943,3,9487,6448,12526,14,9,19,FR,France
201942,3,7747,5243,10251,12,8,16,FR,France
201941,3,7122,4720,9524,11,7,15,FR,France
201940,3,8505,5784,11226,13,9,17,FR,France
201939,3,7091,4462,9720,11,7,15,FR,France
201938,3,4897,2891,6903,7,4,10,FR,France
201937,3,3172,1367,4977,5,2,8,FR,France
201936,3,2295,728,3862,3,1,5,FR,France
201935,3,1010,2,2018,2,0,4,FR,France
201934,3,1672,279,3065,3,1,5,FR,France
201933,3,1593,68,3118,2,0,4,FR,France
201932,3,1592,71,3113,2,0,4,FR,France
201931,3,2337,695,3979,4,2,6,FR,France
201930,3,1944,415,3473,3,1,5,FR,France
201929,3,2096,420,3772,3,0,6,FR,France
201928,3,1195,125,2265,2,0,4,FR,France
201927,3,2466,848,4084,4,2,6,FR,France
201926,3,1798,402,3194,3,1,5,FR,France
201925,3,1544,389,2699,2,0,4,FR,France
201924,3,876,17,1735,1,0,2,FR,France
201923,3,2004,748,3260,3,1,5,FR,France
201922,3,2181,602,3760,3,1,5,FR,France
201921,3,2585,1102,4068,4,2,6,FR,France
201920,3,2891,1202,4580,4,1,7,FR,France
201919,3,3221,1509,4933,5,2,8,FR,France
201918,3,1385,278,2492,2,0,4,FR,France
201917,3,3166,1348,4984,5,2,8,FR,France
201916,3,3842,1973,5711,6,3,9,FR,France
201915,3,5932,3669,8195,9,6,12,FR,France
201914,3,12675,9167,16183,19,14,24,FR,France
201913,3,16513,12530,20496,25,19,31,FR,France
201912,3,22184,17786,26582,34,27,41,FR,France
201911,3,31553,26556,36550,48,40,56,FR,France
201910,3,49742,43268,56216,76,66,86,FR,France
201909,3,88354,79564,97144,134,121,147,FR,France
201908,3,172604,160024,185184,262,243,281,FR,France
201907,3,307338,291220,323456,467,443,491,FR,France
201906,3,394286,376782,411790,599,572,626,FR,France
201905,3,355785,339295,372275,540,515,565,FR,France
201904,3,241090,227261,254919,366,345,387,FR,France
201903,3,147063,135890,158236,223,206,240,FR,France
201902,3,75548,67632,83464,115,103,127,FR,France
201901,3,50295,43525,57065,76,66,86,FR,France
201852,3,37903,31375,44431,58,48,68,FR,France
201851,3,39259,32977,45541,60,50,70,FR,France
201850,3,27781,22638,32924,42,34,50,FR,France
201849,3,19738,15481,23995,30,24,36,FR,France
201848,3,19501,15275,23727,30,24,36,FR,France
201847,3,15949,12105,19793,24,18,30,FR,France
201846,3,11278,7957,14599,17,12,22,FR,France
201845,3,11065,7791,14339,17,12,22,FR,France
201844,3,6586,3875,9297,10,6,14,FR,France
201843,3,6550,3988,9112,10,6,14,FR,France
201842,3,7787,5129,10445,12,8,16,FR,France
201841,3,8048,5098,10998,12,8,16,FR,France
201840,3,7409,4717,10101,11,7,15,FR,France
201839,3,7174,4235,10113,11,7,15,FR,France
201838,3,7349,4399,10299,11,7,15,FR,France
201837,3,4915,2386,7444,7,3,11,FR,France
201836,3,3215,1349,5081,5,2,8,FR,France
201835,3,1506,239,2773,2,0,4,FR,France
201834,3,1368,116,2620,2,0,4,FR,France
201833,3,1962,5,3919,3,0,6,FR,France
201832,3,1839,183,3495,3,0,6,FR,France
201831,3,2048,242,3854,3,0,6,FR,France
201830,3,1951,202,3700,3,0,6,FR,France
201829,3,1951,252,3650,3,0,6,FR,France
201828,3,1654,52,3256,3,1,5,FR,France
201827,3,3266,1145,5387,5,2,8,FR,France
201826,3,3758,1493,6023,6,3,9,FR,France
201825,3,4580,2220,6940,7,3,11,FR,France
201824,3,3223,1351,5095,5,2,8,FR,France
201823,3,1207,136,2278,2,0,4,FR,France
201822,3,3202,1330,5074,5,2,8,FR,France
201821,3,2537,763,4311,4,1,7,FR,France
201820,3,2694,967,4421,4,1,7,FR,France
201819,3,1025,0,2098,2,0,4,FR,France
201818,3,3541,1416,5666,5,2,8,FR,France
201817,3,2573,1003,4143,4,2,6,FR,France
201816,3,4818,2724,6912,7,4,10,FR,France
201815,3,16311,12168,20454,25,19,31,FR,France
201814,3,22666,18092,27240,35,28,42,FR,France
201813,3,32680,25536,39824,50,39,61,FR,France
201812,3,52040,44590,59490,79,68,90,FR,France
201811,3,65159,56506,73812,99,86,112,FR,France
201810,3,93512,83989,103035,142,128,156,FR,France
201809,3,108545,98645,118445,165,150,180,FR,France
201808,3,131870,120950,142790,201,184,218,FR,France
201807,3,141138,130177,152099,215,198,232,FR,France
201806,3,138810,128164,149456,211,195,227,FR,France
201805,3,157839,146646,169032,240,223,257,FR,France
201804,3,175483,163835,187131,267,249,285,FR,France
201803,3,178329,166640,190018,271,253,289,FR,France
201802,3,198079,185663,210495,302,283,321,FR,France
201801,3,235493,220941,250045,358,336,380,FR,France
201752,3,299114,279359,318869,459,429,489,FR,France
201751,3,229448,214366,244530,352,329,375,FR,France
201750,3,129535,118787,140283,199,183,215,FR,France
201749,3,63789,56120,71458,98,86,110,FR,France
201748,3,37568,31541,43595,58,49,67,FR,France
201747,3,24972,19923,30021,38,30,46,FR,France
201746,3,13398,9948,16848,21,16,26,FR,France
201745,3,14035,8091,19979,22,13,31,FR,France
201744,3,8544,5318,11770,13,8,18,FR,France
201743,3,7300,4402,10198,11,7,15,FR,France
201742,3,9966,6503,13429,15,10,20,FR,France
201741,3,12434,8718,16150,19,13,25,FR,France
201740,3,12725,8690,16760,20,14,26,FR,France
201739,3,14949,10534,19364,23,16,30,FR,France
201738,3,11463,7438,15488,18,12,24,FR,France
201737,3,9716,6364,13068,15,10,20,FR,France
201736,3,2815,917,4713,4,1,7,FR,France
201735,3,2794,850,4738,4,1,7,FR,France
201734,3,2497,879,4115,4,2,6,FR,France
201733,3,2406,766,4046,4,1,7,FR,France
201732,3,2667,879,4455,4,1,7,FR,France
201731,3,3256,1158,5354,5,2,8,FR,France
201730,3,3759,1299,6219,6,2,10,FR,France
201729,3,5014,1989,8039,8,3,13,FR,France
201728,3,5271,2576,7966,8,4,12,FR,France
201727,3,3924,1432,6416,6,2,10,FR,France
201726,3,3171,1166,5176,5,2,8,FR,France
201725,3,837,0,1721,1,0,2,FR,France
201724,3,1566,248,2884,2,0,4,FR,France
201723,3,1664,203,3125,3,1,5,FR,France
201722,3,1305,92,2518,2,0,4,FR,France
201721,3,971,0,2046,1,0,3,FR,France
201720,3,2686,793,4579,4,1,7,FR,France
201719,3,3461,1490,5432,5,2,8,FR,France
201718,3,2102,515,3689,3,1,5,FR,France
201717,3,2071,428,3714,3,0,6,FR,France
201716,3,1380,222,2538,2,0,4,FR,France
201715,3,479,0,1242,1,0,2,FR,France
201714,3,1110,0,2549,2,0,4,FR,France
201713,3,7594,3808,11380,12,6,18,FR,France
201712,3,8780,4834,12726,13,7,19,FR,France
201711,3,7814,4329,11299,12,7,17,FR,France
201710,3,11802,7964,15640,18,12,24,FR,France
201709,3,13111,9099,17123,20,14,26,FR,France
201708,3,29545,23136,35954,45,35,55,FR,France
201707,3,59590,49764,69416,91,76,106,FR,France
201706,3,93628,82560,104696,144,127,161,FR,France
201705,3,193677,179255,208099,297,275,319,FR,France
201704,3,256428,240618,272238,394,370,418,FR,France
201703,3,267276,251345,283207,410,386,434,FR,France
201702,3,260588,245070,276106,400,376,424,FR,France
201701,3,255535,239743,271327,392,368,416,FR,France
201652,3,224489,207799,241179,345,319,371,FR,France
201651,3,187704,172655,202753,288,265,311,FR,France
201650,3,126570,115081,138059,194,176,212,FR,France
201649,3,76390,67374,85406,117,103,131,FR,France
201648,3,40502,33949,47055,62,52,72,FR,France
201647,3,22270,17612,26928,34,27,41,FR,France
201646,3,20816,16125,25507,32,25,39,FR,France
201645,3,15957,11448,20466,24,17,31,FR,France
201644,3,15145,10357,19933,23,16,30,FR,France
201643,3,9378,5830,12926,14,9,19,FR,France
201642,3,12920,9044,16796,20,14,26,FR,France
201641,3,13909,9709,18109,21,15,27,FR,France
201640,3,13379,8969,17789,21,14,28,FR,France
201639,3,10598,6814,14382,16,10,22,FR,France
201638,3,5969,3073,8865,9,5,13,FR,France
201637,3,4065,1538,6592,6,2,10,FR,France
201636,3,2372,473,4271,4,1,7,FR,France
201635,3,3420,1350,5490,5,2,8,FR,France
201634,3,2233,0,4643,3,0,7,FR,France
201633,3,1567,0,3938,2,0,6,FR,France
201632,3,2100,93,4107,3,0,6,FR,France
201631,3,3691,0,9120,6,0,14,FR,France
201630,3,3209,644,5774,5,1,9,FR,France
201629,3,1469,0,3073,2,0,4,FR,France
201628,3,2725,357,5093,4,0,8,FR,France
201627,3,5905,2343,9467,9,4,14,FR,France
201626,3,4186,1636,6736,6,2,10,FR,France
201625,3,4611,1560,7662,7,2,12,FR,France
201624,3,4977,2404,7550,8,4,12,FR,France
201623,3,4893,2416,7370,8,4,12,FR,France
201622,3,5667,3015,8319,9,5,13,FR,France
201621,3,5603,2475,8731,9,4,14,FR,France
201620,3,3908,1679,6137,6,3,9,FR,France
201619,3,4738,2308,7168,7,3,11,FR,France
201618,3,8204,4394,12014,13,7,19,FR,France
201617,3,13385,8822,17948,21,14,28,FR,France
201616,3,25670,19632,31708,39,30,48,FR,France
201615,3,48441,39824,57058,74,61,87,FR,France
201614,3,92603,81261,103945,142,125,159,FR,France
201613,3,170654,156387,184921,262,240,284,FR,France
201612,3,272174,254338,290010,418,391,445,FR,France
201611,3,304543,286453,322633,467,439,495,FR,France
201610,3,261822,245799,277845,402,377,427,FR,France
201609,3,229943,214533,245353,353,329,377,FR,France
201608,3,195067,180874,209260,299,277,321,FR,France
201607,3,207359,193223,221495,318,296,340,FR,France
201606,3,196143,182672,209614,301,280,322,FR,France
201605,3,178963,166296,191630,275,256,294,FR,France
201604,3,148473,136591,160355,228,210,246,FR,France
201603,3,75277,66630,83924,116,103,129,FR,France
201602,3,44617,37821,51413,68,58,78,FR,France
201601,3,42263,35556,48970,65,55,75,FR,France
201553,3,24835,19106,30564,38,29,47,FR,France
201552,3,19495,14319,24671,30,22,38,FR,France
201551,3,29080,23014,35146,45,36,54,FR,France
201550,3,25043,19812,30274,39,31,47,FR,France
201549,3,21479,16686,26272,33,26,40,FR,France
201548,3,16428,12273,20583,25,19,31,FR,France
201547,3,14959,10856,19062,23,17,29,FR,France
201546,3,12599,8237,16961,20,13,27,FR,France
201545,3,13577,9192,17962,21,14,28,FR,France
201544,3,14596,10025,19167,23,16,30,FR,France
201543,3,16749,11745,21753,26,18,34,FR,France
201542,3,18675,13613,23737,29,21,37,FR,France
201541,3,13585,9830,17340,21,15,27,FR,France
201540,3,13100,9349,16851,20,14,26,FR,France
201539,3,8595,5671,11519,13,8,18,FR,France
201538,3,8402,4929,11875,13,8,18,FR,France
201537,3,8817,4089,13545,14,7,21,FR,France
201536,3,1922,440,3404,3,1,5,FR,France
201535,3,229,0,644,0,0,1,FR,France
201534,3,760,0,1618,1,0,2,FR,France
201533,3,1537,208,2866,2,0,4,FR,France
201532,3,1594,66,3122,2,0,4,FR,France
201531,3,2845,475,5215,4,0,8,FR,France
201530,3,2447,353,4541,4,1,7,FR,France
201529,3,2389,332,4446,4,1,7,FR,France
201528,3,2089,105,4073,3,0,6,FR,France
201527,3,2257,393,4121,3,0,6,FR,France
201526,3,2536,774,4298,4,1,7,FR,France
201525,3,2607,680,4534,4,1,7,FR,France
201524,3,2849,1000,4698,4,1,7,FR,France
201523,3,2702,857,4547,4,1,7,FR,France
201522,3,4262,1989,6535,7,3,11,FR,France
201521,3,5547,2875,8219,9,5,13,FR,France
201520,3,4594,2040,7148,7,3,11,FR,France
201519,3,6307,3256,9358,10,5,15,FR,France
201518,3,3664,1544,5784,6,3,9,FR,France
201517,3,6382,3523,9241,10,6,14,FR,France
201516,3,12098,7913,16283,19,13,25,FR,France
201515,3,19458,14192,24724,30,22,38,FR,France
201514,3,30940,24617,37263,48,38,58,FR,France
201513,3,49563,41986,57140,77,65,89,FR,France
201512,3,70024,61079,78969,109,95,123,FR,France
201511,3,99295,88838,109752,154,138,170,FR,France
201510,3,143931,131682,156180,223,204,242,FR,France
201509,3,238947,222902,254992,370,345,395,FR,France
201508,3,409972,388670,431274,635,602,668,FR,France
201507,3,517750,494301,541199,802,766,838,FR,France
201506,3,533317,510627,556007,827,792,862,FR,France
201505,3,457911,436964,478858,710,678,742,FR,France
201504,3,292161,275491,308831,453,427,479,FR,France
201503,3,153931,141290,166572,239,219,259,FR,France
201502,3,104096,93358,114834,161,144,178,FR,France
201501,3,70962,60505,81419,110,94,126,FR,France
201452,3,63168,52705,73631,98,82,114,FR,France
201451,3,45346,38002,52690,71,60,82,FR,France
201450,3,42182,35049,49315,66,55,77,FR,France
201449,3,33537,27281,39793,52,42,62,FR,France
201448,3,28156,21896,34416,44,34,54,FR,France
201447,3,18158,13186,23130,28,20,36,FR,France
201446,3,14764,10174,19354,23,16,30,FR,France
201445,3,16172,11449,20895,25,18,32,FR,France
201444,3,15500,10464,20536,24,16,32,FR,France
201443,3,16011,10653,21369,25,17,33,FR,France
201442,3,21651,15828,27474,34,25,43,FR,France
201441,3,22486,16295,28677,35,25,45,FR,France
201440,3,16526,11583,21469,26,18,34,FR,France
201439,3,8583,5054,12112,13,8,18,FR,France
201438,3,10567,6496,14638,16,10,22,FR,France
201437,3,7714,3780,11648,12,6,18,FR,France
201436,3,5018,1949,8087,8,3,13,FR,France
201435,3,2268,355,4181,4,1,7,FR,France
201434,3,2367,250,4484,4,1,7,FR,France
201433,3,2358,0,4875,4,0,8,FR,France
201432,3,3229,447,6011,5,1,9,FR,France
201431,3,4143,349,7937,6,0,12,FR,France
201430,3,4631,902,8360,7,1,13,FR,France
201429,3,5122,1258,8986,8,2,14,FR,France
201428,3,4145,1200,7090,6,1,11,FR,France
201427,3,4823,1997,7649,8,4,12,FR,France
201426,3,3858,1235,6481,6,2,10,FR,France
201425,3,4564,1276,7852,7,2,12,FR,France
201424,3,2007,249,3765,3,0,6,FR,France
201423,3,5164,1853,8475,8,3,13,FR,France
201422,3,6907,1856,11958,11,3,19,FR,France
201421,3,4523,1039,8007,7,2,12,FR,France
201420,3,5881,2432,9330,9,4,14,FR,France
201419,3,3588,1277,5899,6,2,10,FR,France
201418,3,4708,1654,7762,7,2,12,FR,France
201417,3,2989,625,5353,5,1,9,FR,France
201416,3,7057,3381,10733,11,5,17,FR,France
201415,3,10800,6762,14838,17,11,23,FR,France
201414,3,19217,13490,24944,30,21,39,FR,France
201413,3,21577,15435,27719,34,24,44,FR,France
201412,3,23524,17260,29788,37,27,47,FR,France
201411,3,44513,35939,53087,69,56,82,FR,France
201410,3,86105,73497,98713,134,114,154,FR,France
201409,3,147035,131889,162181,229,205,253,FR,France
201408,3,188419,171950,204888,293,267,319,FR,France
201407,3,208726,191283,226169,325,298,352,FR,France
201406,3,160403,145280,175526,250,226,274,FR,France
201405,3,120261,107176,133346,187,167,207,FR,France
201404,3,85280,74414,96146,133,116,150,FR,France
201403,3,64159,54089,74229,100,84,116,FR,France
201402,3,46850,38202,55498,73,60,86,FR,France
201401,3,35624,27451,43797,55,42,68,FR,France
201352,3,30142,22721,37563,47,35,59,FR,France
201351,3,29787,23215,36359,47,37,57,FR,France
201350,3,24055,18214,29896,38,29,47,FR,France
201349,3,18071,13058,23084,28,20,36,FR,France
201348,3,17606,12195,23017,28,20,36,FR,France
201347,3,22636,16343,28929,35,25,45,FR,France
201346,3,13340,8367,18313,21,13,29,FR,France
201345,3,10596,6057,15135,17,10,24,FR,France
201344,3,10193,5622,14764,16,9,23,FR,France
201343,3,15780,9497,22063,25,15,35,FR,France
201342,3,14830,9545,20115,23,15,31,FR,France
201341,3,12391,7265,17517,19,11,27,FR,France
201340,3,9794,5140,14448,15,8,22,FR,France
201339,3,5371,1704,9038,8,2,14,FR,France
201338,3,9324,4198,14450,15,7,23,FR,France
201337,3,5027,1752,8302,8,3,13,FR,France
201336,3,4639,1425,7853,7,2,12,FR,France
201335,3,1291,0,3112,2,0,5,FR,France
201334,3,1889,0,4912,3,0,8,FR,France
201333,3,4740,348,9132,7,0,14,FR,France
201332,3,4709,549,8869,7,0,14,FR,France
201331,3,2270,0,5811,4,0,10,FR,France
201330,3,2169,0,4630,3,0,7,FR,France
201329,3,1696,0,3558,3,0,6,FR,France
201328,3,983,0,2168,2,0,4,FR,France
201327,3,4278,1327,7229,7,2,12,FR,France
201326,3,3488,839,6137,5,1,9,FR,France
201325,3,2735,0,5826,4,0,9,FR,France
201324,3,7245,2997,11493,11,4,18,FR,France
201323,3,16094,8918,23270,25,14,36,FR,France
201322,3,7245,2923,11567,11,4,18,FR,France
201321,3,5974,2401,9547,9,3,15,FR,France
201320,3,3831,1245,6417,6,2,10,FR,France
201319,3,1166,0,2680,2,0,4,FR,France
201318,3,3415,757,6073,5,1,9,FR,France
201317,3,7941,2950,12932,12,4,20,FR,France
201316,3,9520,4758,14282,15,8,22,FR,France
201315,3,19357,13311,25403,30,21,39,FR,France
201314,3,36855,27737,45973,58,44,72,FR,France
201313,3,43236,34048,52424,68,54,82,FR,France
201312,3,60822,50414,71230,95,79,111,FR,France
201311,3,84308,72456,96160,132,113,151,FR,France
201310,3,165558,148471,182645,259,232,286,FR,France
201309,3,259984,239067,280901,407,374,440,FR,France
201308,3,351626,327537,375715,550,512,588,FR,France
201307,3,470076,443682,496470,736,695,777,FR,France
201306,3,471647,445112,498182,738,696,780,FR,France
201305,3,492026,464729,519323,770,727,813,FR,France
201304,3,391525,367182,415868,613,575,651,FR,France
201303,3,224661,207134,242188,352,325,379,FR,France
201302,3,184159,168343,199975,288,263,313,FR,France
201301,3,163491,147340,179642,256,231,281,FR,France
201252,3,159290,141978,176602,251,224,278,FR,France
201251,3,113901,99835,127967,179,157,201,FR,France
201250,3,79918,68086,91750,126,107,145,FR,France
201249,3,47537,38711,56363,75,61,89,FR,France
201248,3,43006,32863,53149,68,52,84,FR,France
201247,3,39223,29140,49306,62,46,78,FR,France
201246,3,26436,18286,34586,42,29,55,FR,France
201245,3,18893,12799,24987,30,20,40,FR,France
201244,3,13106,8784,17428,21,14,28,FR,France
201243,3,17791,11284,24298,28,18,38,FR,France
201242,3,13096,8369,17823,21,14,28,FR,France
201241,3,18675,12010,25340,29,19,39,FR,France
201240,3,17873,11545,24201,28,18,38,FR,France
201239,3,20257,14180,26334,32,22,42,FR,France
201238,3,14715,9178,20252,23,14,32,FR,France
201237,3,7775,3509,12041,12,5,19,FR,France
201236,3,6384,2420,10348,10,4,16,FR,France
201235,3,8277,2206,14348,13,3,23,FR,France
201234,3,3858,0,8641,6,0,14,FR,France
201233,3,6492,840,12144,10,1,19,FR,France
201232,3,6381,0,14034,10,0,22,FR,France
201231,3,2696,0,5763,4,0,9,FR,France
201230,3,1834,0,4194,3,0,7,FR,France
201229,3,6329,1424,11234,10,2,18,FR,France
201228,3,4628,1091,8165,7,1,13,FR,France
201227,3,4162,1487,6837,7,3,11,FR,France
201226,3,4819,1097,8541,8,2,14,FR,France
201225,3,2669,530,4808,4,1,7,FR,France
201224,3,5977,2335,9619,9,3,15,FR,France
201223,3,2361,576,4146,4,1,7,FR,France
201222,3,5772,2435,9109,9,4,14,FR,France
201221,3,3722,821,6623,6,1,11,FR,France
201220,3,2731,897,4565,4,1,7,FR,France
201219,3,3267,1317,5217,5,2,8,FR,France
201218,3,2328,569,4087,4,1,7,FR,France
201217,3,6982,2701,11263,11,4,18,FR,France
201216,3,11455,6874,16036,18,11,25,FR,France
201215,3,20437,13435,27439,32,21,43,FR,France
201214,3,36740,27799,45681,58,44,72,FR,France
201213,3,62917,50171,75663,99,79,119,FR,France
